Shopping,Area por m2,City,State
NEW YORK CITY CENTER,18214,Rio de Janeiro , RJ
NILÓPOLIS SQUARE,3479,Nilópolis , RJ
NITEROISHOPPING,0,NITERÓI , RJ
NORTE SHOPPING,105067,Blumenau , SC
NORTE SUL PLAZA,91471,Campo Grande , MS
NORTESHOPPING,119970,Rio de Janeiro , RJ
NORTH SHOPPING BARRETOS,46820,Barretos , SP
NORTH SHOPPING FORTALEZA,32999,Fortaleza , CE
NORTH SHOPPING JÓQUEI,57656,Fortaleza , CE
NORTH SHOPPING MARACANAÚ,22000,Maracanaú , CE
NOVO SHOPPING CENTER RIBEIRÃO PRETO,440000,Ribeirão Preto , SP
OESTE PLAZA SHOPPING,0,Andradina , SP
OPEN MALL THE SQUARE,0,Cotia , SP
OSASCO PLAZA SHOPPING,27254,Osasco , SP
OURINHOS PLAZA SHOPPING,14679,Ourinhos , SP
PALMAS SHOPPING,6700,Palmas , TO
PANORÂMICO SHOPPING CENTER,0,Sorocaba , SP
PANTANAL SHOPPING,110707,Cuiabá , MT
PARAGEM SHOPPING,5008,Belo Horizonte , MG
PARK SHOPPING BOULEVARD,0,Curitiba , PR
PARKJACAREPAGUÁ,94936,Rio de Janeiro , RJ
PARKSHOPPING,127592,Brasília , DF
PARKSHOPPING CANOAS,93000,Canoas , RS
PARKSHOPPING MOGI MIRIM,40457,Mogi Mirim , SP
PARKSHOPPING SÃO CAETANO,69468,São Caetano do Sul , SP
PARKSHOPPINGBARIGUI,134654,Curitiba , PR
PARKSHOPPINGCAMPOGRANDE,304359,Rio de Janeiro , RJ
PARNAÍBA SHOPPING,25290,Parnaíba , PI
PARQUE DOM PEDRO,461200,Campinas , SP
PARQUE FLORIANO SHOPPING,39120,Floriano , PI
PARQUE MALL,9000,Indaiatuba , SP
PARQUE SHOPPING BAHIA,138400,Lauro de Freitas , BA
PARQUE SHOPPING BARUERI,75809,Barueri , SP
PARQUE SHOPPING BELÉM,57585,Belém , PA
PARQUE SHOPPING MACEIÓ,104250,Maceió , AL
PARQUE SHOPPING MAIA,44169,Guarulhos , SP
PARQUE SHOPPING PRUDENTE,19709,Presidente Prudente , SP
PARQUE SHOPPING SULACAP,61287,Rio de Janeiro , RJ
PARTAGE ARAPIRACA,56570,Arapiraca , AL
PARTAGE NORTE SHOPPING NATAL,60404,Natal , RN
PARTAGE POÇOS DE CALDAS,29459,Poços de Caldas , MG
PARTAGE SHOPPING BETIM,107929,Betim , MG
PARTAGE SHOPPING CAMPINA GRANDE,47105,Campina Grande , PB
PARTAGE SHOPPING MARABÁ,34212,Marabá , PA
PARTAGE SHOPPING MOSSORÓ,80687,Mossoró , RN
PARTAGE SHOPPING PARAUAPEBAS,24743,Parauapebas , PA
PARTAGE SHOPPING RIO GRANDE,577406,Rio Grande , RS
PARTAGE SHOPPING SÃO GONÇALO,26292,São Gonçalo , RJ
PASEO ALTO DAS NAÇÕES,320000,São Paulo , SP
PASSEIO DAS ÁGUAS SHOPPING,267276,Goiânia , GO
PASSEIO PEDRA BRANCA,9724,Palhoça , SC
PASSEIO SÃO CARLOS,0,São Carlos , SP
PASSEIO SHOPPING,5293,Rio de Janeiro , RJ
PASSO FUNDO SHOPPING,75280,Passo Fundo , RS
PATEO ITAQUÁ,26444,Itaquaquecetuba , SP
PÁTIO ALCÂNTARA,3664,São Gonçalo , RJ
PÁTIO BATEL,20450,Curitiba , PR
PÁTIO BRASIL SHOPPING,8000,Brasília , DF
PÁTIO CENTRAL SHOPPING,26000,Campo Grande , MS
PÁTIO CENTRAL SHOPPING,26724,Patos de Minas , MG
PÁTIO CIANÊ SHOPPING,47000,Sorocaba , SP
PÁTIO COTIA,6770,Cotia , SP
PÁTIO DOM LUIS,10000,Fortaleza , CE
PÁTIO LIMEIRA SHOPPING,16584,Limeira , SP
PÁTIO MATOSINHOS,0,São João del Rei , MG
PÁTIO NORTE SHOPPING,71571,São José de Ribamar , MA
PÁTIO OSASCO OPEN MALL,10132,Osasco , SP
PÁTIO RORAIMA SHOPPING,99832,Boa Vista , RR
PÁTIO SABIÁ,21208,Uberlândia , MG
PÁTIO SAVASSI,18354,Belo Horizonte , MG
PÁTIO SHOPPING CHAPECÓ,47605,Chapecó , SC
PÁTIO VINHEDOS,11111,Uberlândia , MG
PÁTIOMIX COSTA VERDE,54436,Itaguaí , RJ
PÁTIOMIX LINHARES,75000,Linhares , ES
PÁTIOMIX RESENDE,0,Resende , RJ
PÁTIOMIX TEIXEIRA DE FREITAS,17803,Teixeira de Freitas , BA
PATOS SHOPPING,43308,Patos , PB
PAULINIA SHOPPING WINNER MALL,14670,Paulínia , SP
PAULISTA NORTH WAY,96000,Paulista , PE
PB SHOPPING,0,Pato Branco , PR
PENÁPOLIS GARDEN SHOPPING,47938,Penápolis , SP
PENHA SHOPPING,0,Rio de Janeiro , RJ
PERIM CENTER,41265,Cachoeiro de Itapemirim , ES
PERIMETRAL OPEN MALL,20000,Goiânia , GO
PIAUÍ SHOPPING CENTER,50972,Picos , PI
PIRÂMIDE SHOPPING,0,João Pessoa , PB
PLANET SHOPPING,0,Londrina , PR
PLAZA AVENIDA SHOPPING,62900,São José do Rio Preto , SP
PLAZA D’ORO SHOPPING,17241,Goiânia , GO
PLAZA SHOPPING CARAPICUÍBA,21120,Carapicuíba , SP
PLAZA SHOPPING CASA FORTE,10160,Recife , PE
PLAZA SHOPPING ITU,96276,Itu , SP
PLAZA SHOPPING NITERÓI,172922,NITERÓI , RJ
PLAZA SUL SHOPPING,21224,São Paulo , SP
POLO CARUARU,157270,Caruaru , PE
POLO SHOPPING INDAIATUBA,120000,Indaiatuba , SP
